id,gap_convdate_appcreated,days_active_app,utm_source,device_model,Android_app_version,device_price_cat,grade,current_streak,max_streak,total_timespent_last7D,comp_activity,comp_news,comp_reading,submitq_attempt,submitq_accuracy,total_navigations,total_visit,freados_earned,user_category
154ae580-df1f-4a7a-998a-fc833701fb86,83,1,Club1BR,SM-G960F,5.7.1.7,High,Grade 4,0,0,0.083333333,0,0,0,0,0,0,0,0,eihdlk
154c6d99-c827-49dd-b674-9df36b5c88c4,20,2,Club1BR,RMX3263,5.7.1.5,0,Grade 4,0,0,0.1,0,0,0,0,0,1,0,0,685300
155238b8-837e-490c-bcd2-10e549553349,7,2,Club1BR,V2059,5.7.1.6,Medium,Grade 3,0,1,23.23333333,0,0,0,4,0.5,28,0,300,ftoqzy
158ba82b-cf36-4934-8afa-126f12e8b28d,19,2,Organic,NOKIA 2.2,5.7.1.5,Low,Grade 6,0,0,0,0,0,0,0,0,0,0,0,#N/A
15944726-5b58-49f4-8c7d-6bf21c839a27,11,3,Club1BR,SM-A715F,5.7.1.6,High,Grade 2,0,1,33.73333333,0,0,0,8,0.875,2,0,-200,rquvwc
159a747f-0d68-4dd2-a4b6-bcaed4f5f539,10,3,Club1BR,HD1901,5.7.1.7,High,Grade 2,0,1,10.08333333,0,0,0,0,0,4,1,100,869060
15eb76d3-47a3-494e-9e12-6174784dc3d1,310,1,Club1BR,0,0,0,Grade 4,0,0,29.26666667,1,0,0,10,0.4,31,0,0,852287
15f20085-2130-42df-aace-a18f5be9e762,4,2,Club1BR,CPH2001,5.7.1.6,Medium,Grade 6,0,1,35.2,0,0,0,0,0,41,1,100,sfpsin
16040225-092e-4310-bb20-c0dfe723f385,9,2,Organic,1933,5.7.1.7,High,Grade 2,0,1,0,0,0,0,0,0,0,0,0,#N/A
161c272b-4184-43c7-bcdd-74052ea85c15,16,4,Club1BR,RMX3085,5.7.1.6,Medium,Grade 4,0,1,10,0,0,0,25,0.6,5,0,2250,euqyqq
162065b7-bffc-41ab-8cc8-f2e687c7cc3c,69,1,Club1BR,SM-F415F,5.7.1.6,Medium,Grade 3,0,0,5.566666667,0,0,0,0,0,7,0,0,rpbtcp
16556153-b769-4e09-a63f-732db9e585a1,93,3,Club1BR,M2006C3MI,5.7.1.6,High,Grade 4,0,1,28.3,0,0,0,5,0.4,18,1,0,493568
168ff8c0-1561-4e94-92cf-4cfa78dce1da,4,5,Club1BR,SM-T515,5.7.1.6,Medium,Senior KG,0,1,24.41666667,0,0,0,4,1,7,0,5600,852287
16a29c2d-e4b6-4579-a556-acc18e4144a1,4,2,Club1BR,SM-M307F,5.7.1.6,Medium,Grade 4,0,0,0,0,0,0,0,0,9,0,0,rquvwc
16e659a2-01ae-4ac7-89bc-556b9f7e1573,3,2,Club1BR,1938,5.7.1.6,Medium,Grade 6,1,2,15.41666667,0,0,0,0,0,5,0,200,vslltm
16ffe2b3-7772-4c04-8ad7-36f237cbb046,2,3,Club1BR,CPH2239,5.7.1.7,High,Grade 5,0,0,34.51666667,0,0,0,0,0,83,1,0,rquvwc
17036d5a-4fa3-4a5a-883b-934a82478021,9,5,Organic,1851,5.7.0.4,Medium,Grade 2,0,0,0,0,0,0,0,0,3,0,0,#N/A
171bacac-1c69-47a7-a064-de2ccabd8ed1,13,3,Club1BR,0,0,0,Grade 4,0,0,11.85,0,0,0,14,0.285714286,23,0,0,qkpbzq
